comp_name,tittle_job,tittle_url
Eurowindow Holding,[Urgent] Kiến Trúc Sư Quản Lý Thiết Kế Nội Thất (Chủ Đầu Tư)(MỚI),https://www.vietnamworks.com/urgent-kien-truc-su-quan-ly-thiet-ke-noi-that-chu-dau-tu-1638887-jv/?source=searchResults&searchType=2&placement=1638888&sortBy=date
Golden Gate Trade & Service JSC,Internal Audit Executive(MỚI),https://www.vietnamworks.com/internal-audit-executive-28-1-1-1639336-jv/?source=searchResults&searchType=2&placement=1639337&sortBy=date
Công Ty TNHH Dược Phẩm Tuyết Hải,Nhân Viên Kinh Doanh(MỚI),https://www.vietnamworks.com/nhan-vien-kinh-doanh-12046-1644354-jv/?source=searchResults&searchType=2&placement=1644405&sortBy=date
Công Ty Cổ Phần Năng Lượng Xanh Phú Mỹ,Kế Toán Trưởng ( Làm Việc Tại BRVT )(MỚI),https://www.vietnamworks.com/ke-toan-truong-lam-viec-tai-brvt-1642892-jv/?source=searchResults&searchType=2&placement=1642943&sortBy=date
Daikin Air Conditioning (Vietnam) Joint Stock Company,Urgent!!! IT Software Engineer(MỚI),https://www.vietnamworks.com/urgent-it-software-engineer-1-1642920-jv/?source=searchResults&searchType=2&placement=1642971&sortBy=date
Pinetree Securities Corporation - A Member of Hanwha Investment & Securities Co. Ltd. Korea,Senior IT Security Officer(MỚI),https://www.vietnamworks.com/senior-it-security-officer-1628465-jv/?source=searchResults&searchType=2&placement=1628516&sortBy=date
Eurowindow Holding,Chuyên Viên Quản Lý Hoạt Động Đầu Tư(MỚI),https://www.vietnamworks.com/chuyen-vien-quan-ly-hoat-dong-dau-tu-1626903-jv/?source=searchResults&searchType=2&placement=1626954&sortBy=date
Công Ty TNHH Tianhai Lace VN,Administration/ HR (Chinese) [Salary 27-38 Million VND](MỚI),https://www.vietnamworks.com/administration-hr-chinese-salary-27-38-million-vnd-1636567-jv/?source=searchResults&searchType=2&placement=1636618&sortBy=date
Công Ty TNHH Thương Mại Khatoco,Nhân Viên Kiểm Tra Chất Lượng Sản Phẩm (Hàng May Mặc)(MỚI),https://www.vietnamworks.com/nhan-vien-kiem-tra-chat-luong-san-pham-hang-may-mac-1-1642889-jv/?source=searchResults&searchType=2&placement=1642940&sortBy=date
Gen E By Generali,Quản Lý Kinh Doanh - Dự Án Quản Trị Khách Hàng Phân Khúc Cao Cấp Của Tập Đoàn Đa Quốc Gia Generali(MỚI),https://www.vietnamworks.com/quan-ly-kinh-doanh-du-an-quan-tri-khach-hang-phan-khuc-cao-cap-cua-tap-doan-da-quoc-gia-generali-1643242-jv/?source=searchResults&searchType=2&placement=1643293&sortBy=date
